keyword,score
risotto recipe,0.4883
mushroom risotto,0.4785
pineapple salsa,0.4584
meal recipe,0.4536
eat taco,0.4459
risotto tonight,0.4456
comfort food,0.4437
recipe,0.4335
recipe ingredient,0.4238
healthy delicious,0.423
comfort mushroom,0.4219
salsa,0.4148
chicken roasted,0.4147
tacos,0.413
salsa chipotle,0.4127
jackfruit tacos,0.4111
savory fresh,0.4094
chili,0.4085
risotto,0.4025
taco,0.3995
chipotle mayo,0.3974
food new,0.3942
spicy addictive,0.3934
meal taste,0.3891
hummus,0.3856
sunday meal,0.382
fresh cooking,0.3803
flavor follow,0.3799
taco day,0.3758
recipe turn,0.3731
creamy mushroom,0.3711
chili oil,0.3707
roasted veggie,0.3707
flavor brunch,0.3691
yogurt chia,0.3686
food lately,0.3662
recipe time,0.3649
recipe ginger,0.3635
new food,0.3628
eastern food,0.3624
warmth spice,0.3621
sweet savory,0.3607
today hummus,0.3604
mayo corn,0.3571
food warm,0.356
dining sweet,0.3545
margherita pizza,0.3544
midnight snack,0.3541
recommend veggie,0.3527
maximum flavor,0.3526
